List of Permitted Ayurveda Colleges for the academic year 2024-25 as on 05.02.2026,,,,,,,,,,,,
S. No,College ID,State,Name of the College,"Govt./Aided
/Private/ Deemed",Permission Details,Sanction seats,,,,,,Permission Status
,,,,,,"Sanction seats
(Without EWS)",,,"Sanction Seats
(with EWS)",,,
,,,,,,UG,PG,"PG
Diploma",UG,PG,"PG
Diploma",
1,AYU0184,Maharashtra,"Dr. D.Y. Patil College of Ayurved & Research Centre, Sant Tukaram Nagar, Pimpri, Pune 411018,
Maharashtra",Deemed University (Private),"Grant  of  Conditional  Permission   for  100  seats  in  UG (BAMS) course and 100 seats in 14 PG courses in the subject   namely   (i)   Kayachikitsa   -   12   seats   (ii) Panchakarma-  06  seats  (iii)  Prasuti  Tantra  and  Stri Roga-  12  seats  (iv)  Kaumarbhritya  -  12  seats  (v) Shalakya tantra- 06 seats (vi) Shalya Tantra- 06 seats
(vii)  Ayurveda  Samhita  and Siddhant  - 06  seats (viii) Rachna Sharir- 06 seats (ix) Kriya Sharir - 06 seats (x) Swasthavritta-06    seats    (xi)    Rasa    Shastra    and Bhaisajya  Kalpana-  06  seats  (xi)  Rog  Nidan  avem Vikriti  vigyan-05  seats  (xiii)  Agad  Tantra  and  Vidhi Vaidyaka-05  seats  (xiv)  Dravyaguna  Vigyan-06  seats for the academic session 2024-25 under section 28 of NCISM Act, 2020",100,100,0,0,0,0,"Conditional Permission  ( UG - 100 seats, PG - 100
seats without EWS)"
2,AYU0210,Odisha,"Govt. Ayurved College, AT Tulsi Nagar, Bolangir - 767001,
Odisha",Government,"Grant of conditional permission with 57 seats (72 seats including EWS) [instead of 60 seats (75 Seats including EWS)]  in  UG  (BAMS)  course  and  08  seats  (10  seats including EWS) in 02 PG courses in the subject namely
(i)  Ayurved  Samhita  &  Siddhanta-04  seats  (05  seats including EWS) (ii) Rog Nidan Avum Vikriti Vigyan- 04 seats   (05   seats   including   EWS)   for   the   academic session 2024-25 under section 28 of NCISM Act, 2020",57,8,0,72,10,0,"Conditional Permission
with Seat Reduction   (UG - 57 seats, PG - 8 seats without EWS & UG - 72 seats & PG - 10 seats including EWS )"
S. No,College ID,State,Name of the College,"Govt./Aided
/Private/ Deemed",Permission Details,Sanction seats,,,,,,Permission Status
,,,,,,"Sanction seats
(Without EWS)",,,"Sanction Seats
(with EWS)",,,
,,,,,,UG,PG,"PG
Diploma",UG,PG,"PG
Diploma",
3,AYU0040,Haryana,"Shri Krishna Govt. Ayurvedic College & Hospital,
Umri Road, Near DC Residence, Sec-8, Kurukshetra-136118, Haryana",Government,"Grant of conditional permission with 50 seats (63 seats including EWS) in UG (BAMS) course and 64 seats (80 seats  including  EWS)  [instead  of  66  seats  (82  seats including EWS)] in 14 PG courses in the subject namely
(i) Ayurved Samhita, Sanskrit & Siddhanta - 05 seats (06  seats  including  EWS),  (ii)  Rachana  Sharir  -  06 seats   (07   seats   including   EWS),   (iii)   Dravyaguna Vigyana - 05 seats (06 seats including EWS), (iv) Rog Nidan   avum   Vikriti   Vigyan   -   05   seats   (06   seats including  EWS),  (v)  Swasthavritta  &  Yoga  -  05  seats (06 seats including EWS), (vi) Agad Tantra avum Vidhi Vaidyaka  -  02  seats  (03  seats  including  EWS),  (vii) Prasuti & StriRoga - 05 seats (06 seats including EWS),
(viii)  Kaumarbhritya-Bala  Roga  -  03  seats  (05  seats including EWS), (ix) Rasa Shastra & Bhaisajya Kalpana 05 seats (06 seats including EWS),  (x) Kriya  Sharir  - 06 seats (07 seats including EWS), (xi) ShalakyaTantra
- 05 seats (06 seats including EWS), (xii) Panchakarma
- 03 seats
(04 seats including EWS), (xiii) Kayachikitsa - 05 seats (07 seats including EWS) and (xiv) Shalya Tantra - 04 seats (05 seats including EWS) instead of 06 seats (07",50,64,0,63,80,0,"Conditional Permission
with Seat Reduction   (UG - 50 seats, PG - 63 seats without EWS & UG - 64 seats & PG - 80 seats including EWS )"
4,AYU0003,Andhra Pradesh,"Sri Venkateshwara Ayurvedic College,
SVIMS Campus, T T Devasthanam,
Tirupati North-517507, Andhra Pradesh",Private,"Grant of Conditional Permission with intake capacity of 40 seats in UG (BAMS) course and 36 seats in 06 PG courses in the subjects namely (i) Dravyaguna Vigyana 06  seats  (ii)  Rasa  Shastra  &  Bhaisaiya  Kalpana-06 seats (iii)  Panchakarma-06 seats (iv)  Shalya-06 seats
(v)  Kaumarbhritya-Bala  Roqa-06  seats  (vi)  Ayurved Samhita,   Sanskrit   &   Siddhanta-06   seats   for   the academic session 2024-25 under section 28 of NCISM
Act, 2020",40,36,0,0,0,0,"Conditional Permission after 1st Appeal UG - 40 seats, PG - 36 seats without EWS)"
5,AYU0004,Telangana,"Anantha Laxmi Govt. Ayurvedic College,
Post Laxmipura, Labour Colony, Tq. & Distt. Warangal-506013, Telangana",Government,Grant of conditional permission for intake capacity with 47 seats (59 seats including EWS) [instead of 50 seats (63 Seats including EWS)] in UG (BAMS) course for the academic session 2024-25,47,0,0,59,0,0,Conditional Permission with seat Reduction  (UG- 47 seats without EWS) & (UG- 59 seats including EWS)
6,AYU0016,Bihar,"Dayanand Ayurvedic Medical College & Hospital,
Siwan- 841266, Bihar",Private,"Grant of Conditional Permission with intake capacity of 60 seats in UG (BAMS) course and 08 seats in 02 PG courses  in  the  subjects  namely  (i)  Kayachikitsa-04 seats   (ii)   Dravyaguna   Vigyan   -   04   seats   for   the academic session 2024-25, under section 28 of NCISM",60,8,0,0,0,0,"Conditional Permission (UG - 60 seats, PG - 08
seats without EWS)"
S. No,College ID,State,Name of the College,"Govt./Aided
/Private/ Deemed",Permission Details,Sanction seats,,,,,,Permission Status
,,,,,,"Sanction seats
(Without EWS)",,,"Sanction Seats
(with EWS)",,,
,,,,,,UG,PG,"PG
Diploma",UG,PG,"PG
Diploma",
7,AYU0018,Chhattisgarh,"Rajiv Lochan Ayurved Medical College,
Village & Post- Chandkhuri Gunderdehi Road,
Distt. Durg- 491221, Chhattisgarh",Private,"Grant  of  conditional  permission  with  60  seats  in  UG (BAMS) course, under section 28 of NCISM Act, 2020 for the academic session 2024-25",60,0,0,0,0,0,Conditional Permission (UG - 60 seats without EWS)
8,AYU0020,Chandigarh,"Shri Dhanwantry Ayurvedic College, and Hospital,
Plot No.-M-688, Sector 46-B Chandigarh- 160017",Private,"Grant of conditional permission for intake capacity with 100 seats in UG (BAMS) course and 17 seats in 03 PG courses in the subject namely (i) Dravyaguna Vigyana 06  seats,  (ii)  Prasuti  &  Stri  Raga  -  06  seats  (iii)  Rog Nidan  avum  Vikriti  Viqyan  -  05  seats  (instead  of  06 seats ) and denial of conditional permission in 01 PG course in the subject namely (i) Ayurved Samhita & Siddhanta -05 seats, for the academic session 2024-25 under section 28 of NCISM Act, 2020 for the academic session 2024-25",100,17,0,0,0,0,"Conditional Permission with Seat Reduction ( UG - 100 seats without EWS, PG - 17 seats without EWS) & Denial of Permission in 01 PG"
9,AYU0024,Gujarat,"Govt. Akhandanand Ayurved College & Hospital,
SMIAS Campus, Kolavada Sonipur Road, Gandhinagar- 382028,
Gujarat",Government,"Grant of conditional permission with 70 seats (87 seats including EWS) {instead of 75 seats (94 seats including EWS} in UG (BAMS) course and 26 PG seats (31 seats including EWS) in 05 PG course in the subject namely
(i)  Ayurved  Samhita  &  Siddhanta  -  05  seats,  (ii) Kayachikitsa-06  seats  (07  seats  including  EWS),  (iii) Shalyatantra  05  seats  (06  seats  including  EWS)  (iv) Shalakya  Tantra  05  seats  (06  seats  including  EWS), and  (v)  Panchakarma  05  seats  (07  seats  including EWS)  under  section  28  of  NCISM  Act,  2020  for  the academic session 2024-25",70,26,0,87,31,0,"Conditional Permission with Seat Reduction ( UG - 70 seats, PG - 26 seats without EWS & UG - 87 seats, PG - 31 seats including EWS)"
10,AYU0026,Gujarat,"Govt. Ayurved Mahavidyalaya & College, Outside Panigate, Dhanwant Marg,
Ajwa Road, Waghodia Road, Vadodara- 390019, Gujarat",Government,"Grant of conditional permission for intake capacity with 59 seats (74 seats including EWS) instead of 60 seats (75 seats including EWS) in UG (BAMS) course and 10 PG seats (13 seats including EWS) in 02 PG course in the  subject  namely  (i)  Dravyaguna  Vigyana  05  seats (06 seats including EWS), (ii) Rasa Shastra & Bhaisajya Kalpana  05  seats  (07  seats  including  EWS)  under section  28  of  NCISM  Act,  2020  for  the  academic session    2024-25    and    renewal    of    conditional permission in 01 PG course in the subject namely (i) Ayurved Samhita, & Siddhanta - 05 seats under section 29 of NCISM Act, 2020 for the academic session 2024- 25",59,10,0,74,18,0,Conditional Permission with seat reduction  (UG- 59 seats & PG - 10   seats without EWS) & UG - 74 seats & PG - 18 seats including EWS)
S. No,College ID,State,Name of the College,"Govt./Aided
/Private/ Deemed",Permission Details,Sanction seats,,,,,,Permission Status
,,,,,,"Sanction seats
(Without EWS)",,,"Sanction Seats
(with EWS)",,,
,,,,,,UG,PG,"PG
Diploma",UG,PG,"PG
Diploma",
11,AYU0029,Gujarat,"Govt. Ayurved College, Pancheshwar Road, Near Geeta Cinema,
Dist. Junagarh-362001, Gujarat",Government,"Grant of Conditional Permission with 60 seats (75 seats including EWS) in UG (BAMS) course and 01 PG course with  05  seats  in  the  subject  namely  (i)  Ayurveda Samhita  evum  Siddhant  under  section  28  of  NCISM Act, 2020 for the academic session 2024-25",60,5,0,75,0,0,Conditional Permission (UG- 60 seats & PG - 05 seats without EWS) & UG - 75 seats including EWS)
12,AYU0036,Haryana,"Shri Baba Mastnath Ayurvedic College, VPO. Asthal Bohar, Distt. Rohtak-124021, Haryana",Private,"Grant  of  Conditional  Permission  with  60  seats  in  UG (BAMS)  course  under  section  28  of  NCISM  Act,  2020 for the academic session 2024-25",60,0,0,0,0,0,Conditional Permission (UG- 60 seats without EWS)
