List of total Siddha Colleges across country as on 29.08.2025,,,,
S. No,College ID,State,Name of the College,"Govt./Aided/P
rivate/"
1,SID0271,Kerela,"Santhigiri Siddha Medical College, Santhigiri (P.O) Thiruvananthapuram-600106, Kerala",Private
2,SID0266,Tamil Nadu,"Govt. Siddha Medical College, Palayamkottai, Tirunelveli,-627002, Tamil Nadu",Govt.
3,SID0267,Tamil Nadu,"Govt. Siddha Medical College, Arumbakkam, Aringar
Anna Hospital Campus Chennai-600106, Tamil Nadu",Govt.
4,SID0268,Tamil Nadu,"ATSVS Siddha Medical College, Munchirai,
Kanyakumari-629171, Tamil Nadu",Private
5,SID0269,Tamil Nadu,"Sai Ram Siddha Medical College & Research Centre, Sai Leo Nagar,
Chennai-600044, Tamil Nadu",Private
6,SID0270,Tamil Nadu,"Velumailu Siddha Medical College and Hospital, Chennai,
Sriperumbudur-602105, Tamil Nadu,",Private
7,SID0272,Tamil Nadu,"National Institute of Siddha,
Trichy Hwy, near Government Hospital, Tambaram Sanatoruim, Chennai,
Tamil Nadu 600047",National Institute (government)
8,SID0273,Tamil Nadu,"RVS Siddha Medical College, Kannampalayam, Sulur Coimbatore-641402,
Tamil Nadu",Private
9,SID0274,Tamil Nadu,"Sivaraj Siddha Medical College and Research Institute, Salem, Siddhar Kovil Road,
Thumbathulipatty-636307, Tamil Nadu,",Private
10,SID0428,Tamil Nadu,"Maria Siddha Medical College and Hospital, Thottavaram, moovatumugham Thiruvattar-629177,
Nagercoil, Tamil Nadu",Private
11,SID0439,Tamil Nadu,"JSA Medical College for Siddha & Research Centre, Ulundurpet,
Kallakuruchi-606104, Tamil Nadu",Private
12,SID0575,Tamil Nadu,"Nandha Siddha Medical College And Hospital, Thiruvachi Panchayat, Pitchandapalayam Post, Erode-638052,  Tamil Nadu",Private
13,SID0576,Tamil Nadu,"Excel Siddha Medical College & Research Centre, Komarapalayam-637303,
Tamil Nadu",Private
14,SID0754,Tamil Nadu,"Annai Medical College of Siddha and research centre, Anakudi Road, Kovilacheri Kambakonam,                  Thanjavur- 612503,                                                            Tamil Nadu",Private
S. No,College ID,State,Name of the College,"Govt./Aided/P
rivate/"
15,SID0756,Tamil Nadu,"Sir Issac Newton Siddha Medical College,
Thandapani Pillai and Sons, Educational and charitable trust Nagapattinam-611 001,
Tamil Nadu",Private
16,SID0755,Tamil Nadu,"Sudha Saseendran Siddha Medical College and Hospital, 5/121B, Mecode, Kaliyakkavilai - Post, Kanyakumari District, Tamil Nadu- 629153",Private
17,SID0753,Tamil Nadu,"Shri Indra Ganesan Institute of Medical Science Siddha Medical College, Main Road NH-45B, Manikandam, Triuchirappalli - 620012,  Tamil Nadu",Private
