coldesc_id,college_name,category,cutoff_2025,column_name
1,All India Quota,UR,27360,AIQ MBBS 2025 Last Rank
1,All India Quota,OBC,27421,AIQ MBBS 2025 Last Rank
1,All India Quota,EWS,30921,AIQ MBBS 2025 Last Rank
1,All India Quota,SC,139123,AIQ MBBS 2025 Last Rank
1,All India Quota,ST,164804,AIQ MBBS 2025 Last Rank
1,All India Quota,UR,24933,A&N   MBBS 2025 Last Rank
1,All India Quota,OBC,26172,A&N   MBBS 2025 Last Rank
1,All India Quota,EWS,30455,A&N   MBBS 2025 Last Rank
1,All India Quota,SC,136392,A&N   MBBS 2025 Last Rank
1,All India Quota,ST,162177,A&N   MBBS 2025 Last Rank
1,All India Quota,UR,25334,A.P MBBS 2025 Last Rank
1,All India Quota,OBC,25539,A.P MBBS 2025 Last Rank
1,All India Quota,EWS,27746,A.P MBBS 2025 Last Rank
1,All India Quota,SC,124874,A.P MBBS 2025 Last Rank
1,All India Quota,ST,150789,A.P MBBS 2025 Last Rank
1,All India Quota,UR,27233,Arunachal Pradesh MBBS 2025 Last Rank
1,All India Quota,OBC,25985,Arunachal Pradesh MBBS 2025 Last Rank
1,All India Quota,EWS,25414,Arunachal Pradesh MBBS 2025 Last Rank
1,All India Quota,SC,136445,Arunachal Pradesh MBBS 2025 Last Rank
1,All India Quota,ST,134837,Arunachal Pradesh MBBS 2025 Last Rank
1,All India Quota,UR,27316,Assam MBBS 2025 Last Rank
1,All India Quota,OBC,27078,Assam MBBS 2025 Last Rank
1,All India Quota,EWS,30385,Assam MBBS 2025 Last Rank
1,All India Quota,SC,138173,Assam MBBS 2025 Last Rank
1,All India Quota,ST,163863,Assam MBBS 2025 Last Rank
1,All India Quota,UR,27360,Bihar MBBS 2025 Last Rank
1,All India Quota,OBC,20887,Bihar MBBS 2025 Last Rank
1,All India Quota,EWS,23353,Bihar MBBS 2025 Last Rank
1,All India Quota,SC,115420,Bihar MBBS 2025 Last Rank
1,All India Quota,ST,163064,Bihar MBBS 2025 Last Rank
