Status of Permission/Denial for the Academic Year 2025-26 as on 11-11-2025,,,,,,,,,,
No,College Name,STATE,College Code,Govt/ Pvt,"Permission UG
(Including EWS)",Permission PG,Permission PG  (Subject Wise),Reduction of Seats,"MARBH
Decision",Scheme
1,"A.S.R. Homoeopathic Medical College, Y - Junction,, Prathipadu, Tadepalligudem, West Godavari - 534146. asrhmctpg@gmail.com",Andhra Pradesh,101,Private,100,-,-,-,Conditional Permission,UG
2,"Dr. Allu Ramalingaiah Govt. Homoeopathic Medical College, 26-1-11, Y Junction, Rajamahendravaram, East Godavari - 533106. drarghmc_rjy@yahoo.com",Andhra Pradesh,102,Govt.,63,23,Organon of Medicine-8 Materia Medica-8 Repertory-7,-,Permission,UG+PG
3,"Dr. Gururaju Govt. Homoeopathic Medical College, Gudivada, Krishna Distt.- 521301. gghmc_gdv@yahoo.com",Andhra Pradesh,103,Govt.,50,23,Organon of Medicine-8 Materia Medica-8 Repertory-7,-,Conditional Permission,UG+PG
4,"Govt. Homoeopathic Medical College, Rama Raju Palli, Ravindra Nagar Post, Kadapa Cuddapah, Andhra Pradesh, 516003. ghmckdpap@gmail.com",Andhra Pradesh,104,Govt.,38,8,Organon of Medicine-4 Pharmacy-4,-,Conditional Permission,UG+PG
5,"KKC Homoeopathic Medical College, 1-52, KKC Nagar, Parameswara Mangalam, Chittoor- 517584. kkcptr@gmail.com",Andhra Pradesh,105,Private,100,-,-,-,Conditional Permission,UG
6,"Maharajaha Institute of Homoeopathy Sciences and Hospital, D.NO: 31-15,, NELLIMARLA NEAR
M.D.O. OFFICE,
NELLIMARLA, Vizianagaram-535217. principalsretmihs@gmail.com",Andhra Pradesh,106,Private,100,-,-,-,Permission,UG
7,"Sri Adi Shiva Satguru Ali Saheb Shivaaryula Homoeopathic Medical College, Thimmapuram, NH-63, , Near Anjineyaswamy Temple, Guntakal, Anantapur- 515801. adisiva.hmc.gtl@gmail.com",Andhra Pradesh,107,Private,100,-,-,-,Conditional Permission,UG
8,"North East Homoeopathic Medical College and Hospital, Vivek Vihar, Itanagar,
Papum Pare,  791113. nehmchitanagar@gmail.com",Arunachal Pradesh,201,Private,0,-,-,-,Denial,UG
No,College Name,STATE,College Code,Govt/ Pvt,"Permission UG
(Including EWS)",Permission PG,Permission PG  (Subject Wise),Reduction of Seats,"MARBH
Decision",Scheme
